Chamber,DistrictNumber,DistrictLabel,CandName,CandidateStatus,Party,CommitteeName,AcceptedVSL,ListingStatus,BegFundsOnHand,MonetaryContributions,MonetaryExpenditures,LoansReceived,LoanPayments,EndFundsOnHand,NonMonetaryContributions,NonMonetaryExpenditures
Senate,35,Senate District 35,"PELTON, RODNEY",Active,Republican,COMMITTEE TO ELECT ROD PELTON,Yes,Active,8194.9800,4790.7000,12322.1000,0.0000,0.0000,663.5800,0.0000,0.0000
House,1,House District 01,"ANDERSON, EVAN",Active,Unaffiliated,None,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,1,House District 01,"CAPOBIANCO, AMANDA",Active,Republican,None,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,1,House District 01,"MABREY, JAVIER",Active,Democratic,JAVIER FOR COLORADO,No,Active,11094.8800,14021.0000,19588.6500,0.0000,0.0000,5527.2300,0.0000,0.0000
House,2,House District 02,"BALDERMANN, SCOTT",Active,Democratic,SCOTT BALDERMANN FOR COLORADO,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,2,House District 02,"NEIL, MICHAEL RUSSELL",Active,Democratic,MICHAEL NEIL FOR COLORADO,No,Active,0.0000,16388.2600,3876.3900,500.0000,500.0000,12511.8700,425.0000,0.0000
House,2,House District 02,"PERKINS, OWEN",Active,Democratic,PEOPLE FOR PERKINS,No,Active,0.0000,305.0000,11.6300,0.0000,0.0000,293.3700,0.0000,0.0000
House,2,House District 02,"WINCHESTER, TRACY JENKINS",Active,Democratic,COMMITTEE TO ELECT TRACY WINCHESTER,No,Active,0.0000,3300.0000,201.6900,0.0000,0.0000,3098.3100,0.0000,0.0000
House,3,House District 03,"BARLOW-ROACH, MICHAEL",Active,Democratic,MIKE BARLOW-ROACH FOR COLORADO,No,Active,0.0000,8648.0000,2284.5900,5000.0000,0.0000,11363.4100,0.0000,0.0000
House,3,House District 03,"DOSTER, KYLE",Terminated,Democratic,KYLE DOSTER DISTRICT 3 CANDIDATE,No,Terminated,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
